Origem,Canal,,,
(direct) / (none),Direto,,,
(not set),Outros,,,Canal
(not set) / 11TVReceptivo,Vendedor,,,Blue
(not set) / 12TVSuporte,Vendedor,,,Direto
(not set) / vendedor,Vendedor,,,E-mail MKT
083be073052f3c757779b93e6fe7e6ad.safeframe.googlesyndication.com / referral,Outros,,,Google_Ads
100candi.com / referral,Outros,,,Google_Organic
100candi.com.br / referral,Outros,,,Meta Ads
189.9.79.234:9090 / referral,Outros,,,Meta Organico
258b3a84ec0bebe637e7f78f1a70ad39.safeframe.googlesyndication.com / referral,Outros,,,Outros
25d0d4110c7ed76e6d5632a0249d89f3.safeframe.googlesyndication.com / referral,Outros,,,Vendedor
293d9ffdbe1d7ccd265e4487e2e195c6.safeframe.googlesyndication.com / referral,Outros,,,Total geral
3322 / facebook,Meta Organico,,,
33df71e66fd54f98f0c3d134c3e24e23.safeframe.googlesyndication.com / referral,Outros,,,
36ba7905f0916de9e9c32d4aba84cf18.safeframe.googlesyndication.com / referral,Outros,,,
3DActi= / (not set),E-mail MKT,,,
3DActiv= / (not set),E-mail MKT,,,
3DActiveC= / (not set),E-mail MKT,,,
3DActiveCampaign / (not set),E-mail MKT,,,
3DActiveCampaign / 3Dema=,E-mail MKT,,,
3ec3f309428c1db82250dd9e1be374bd.safeframe.googlesyndication.com / referral,Outros,,,
4297d3f810b2ee2cb936eaa38691f2bc.safeframe.googlesyndication.com / referral,Outros,,,
515c8a34bb5cf9f0b10853d4daf09f2b.safeframe.googlesyndication.com / referral,Outros,,,
60.205.200.142 / referral,Outros,,,
6098ad759c16489fa8508f0b4eaaf178.safeframe.googlesyndication.com / referral,Outros,,,
68501a2f8f8c2f330f8ed8b9edfe6efc.safeframe.googlesyndication.com / referral,Outros,,,
74112fdabe95b1a1f0b0882cc59a0285.safeframe.googlesyndication.com / referral,Outros,,,
7df16ff8aadee4a78c8e4f7956bfe6b8.safeframe.googlesyndication.com / referral,Outros,,,
7e2aacaa3f430fc470f37a1990e3711a.safeframe.googlesyndication.com / referral,Outros,,,
97b49e89af3cba525d14143951459c98.safeframe.googlesyndication.com / referral,Outros,,,
activecampaign / banner,E-mail MKT,,,
ActiveCampaign / email,E-mail MKT,,,
ActiveCampaign / whatsapp,E-mail MKT,,,
ActiveCampaing / email,E-mail MKT,,,
admin.pedbot.com.br / referral,Vendedor,,,
admin-beta.pedbot.com.br / referral,Vendedor,,,
ads.google.com / referral,Google_Organic,,,
afiliado / (not set),Outros,,,
afiliado / organic,Outros,,,
afterdarkmode.net / referral,Outros,,,
aglasem.com / referral,Outros,,,
agoracupom.com.br? / undefined,Outros,,,
aline / atendimento,Vendedor,,,
ALLINMAIL / email,E-mail MKT,,,
amo.to / referral,Outros,,,
an / paid,Outros,,,
anaturezacura.com.br / referral,Outros,,,
app.chat2desk.com.br / referral,Outros,,,
app.lagsistemas.com.br / referral,Outros,,,
app.mktzap.com.br / referral,Outros,,,
app.notificacoesinteligentes.com / referral,Outros,,,
app.octadesk.com / 12TVSuporte,Vendedor,,,
app.octadesk.com / referral,Vendedor,,,
app.octadesk.com / vendedor,Vendedor,,,
app.petalia.com.br / referral,Outros,,,
app.snov.io / referral,Outros,,,
assufemg.org.br / referral,Outros,,,
atendimento / geral,Vendedor,,,
audit.m3rl.com / referral,Outros,,,
bancodeprecos.com.br / referral,Outros,,,
BdgvifDbzcbvat / email,Outros,,,
BdgvifDbzcbvta / email,Outros,,,
bemestarfarma.kommo.com / referral,Outros,,,
beta.agendor.com.br / referral,Outros,,,
bing / organic,Outros,,,
blackbox.ai / referral,Outros,,,
bling.com.br / referral,Outros,,,
blog / (not set),Outros,,,
blog / comentariopost,Outros,,,
blog / link,Outros,,,
blog / texto,Outros,,,
blog / undefined,Outros,,,
blue / cpc,Blue,,,
blue / rev,Blue,,,
bmail.uol.com.br / referral,Outros,,,
bms.brandmonitor.com.br / referral,Outros,,,
br.coupert.com / referral,Outros,,,
br.search.yahoo.com / referral,Outros,,,
brasil.babycenter.com / referral,Outros,,,
brc-excel.officeapps.live.com / referral,Outros,,,
BTG360 / email,E-mail MKT,,,
c9981ca82ec81f83aa2d856a4db95864.safeframe.googlesyndication.com / referral,Outros,,,
canva.com / referral,Outros,,,
cashbe.com.br / referral,Outros,,,
ce01cf212b126e27f91384e4620a6b98.safeframe.googlesyndication.com / referral,Outros,,,
chatgpt / referral,Google_Organic,,,
chatgpt.com / (not set),Google_Organic,,,
chatgpt.com / 11TVReceptivo,Vendedor,,,
chatgpt.com / 12TVSuporte,Vendedor,,,
chatgpt.com / cpc,Google_Ads,,,
chatgpt.com / organic,Google_Organic,,,
chatgpt.com / referral,Google_Organic,,,
chatgpt.com / undefined,Google_Organic,,,
cityfarmadevilamariahelena.atenderbem.com / referral,Outros,,,
cl.search.yahoo.com / referral,Outros,,,
clicktracker.getblue.io / referral,Blue,,,
cn.bing.com / referral,Outros,,,
co.search.yahoo.com / referral,Outros,,,
comunidade.mulheremforma.com / referral,Outros,,,
contatoseguro.lightning.force.com / referral,Outros,,,
copilot.cloud.microsoft / referral,Outros,,,
copilot.microsoft.com / referral,Outros,,,
correio.blumenau.sc.gov.br / referral,Outros,,,
coupert.com / referral,Outros,,,
criteo / display,Outros,,,
cupoom.com.br / referral,Outros,,,
d1e8af150e71cad79d61058125bbbac7.safeframe.googlesyndication.com / referral,Outros,,,
de.search.yahoo.com / referral,Outros,,,
descontocupom / (not set),Outros,,,
descontocupom / cpc,Outros,,,
descontocupom.com.br / referral,Outros,,,
dfe39f125f98e6ed76c2a54f2761132a.safeframe.googlesyndication.com / referral,Outros,,,
docs.google.com / referral,Outros,,,
duckduckgo / organic,Outros,,,
dymo-frontend.corp.google.com / referral,Outros,,,
e65212d7cfa7a16bbf9f6435e92186fe.safeframe.googlesyndication.com / referral,Outros,,,
ec9ba02f4b23d166fc724e4c6ec861bb.safeframe.googlesyndication.com / referral,Outros,,,
econodata.com.br / referral,Outros,,,
ecosia.org / organic,Outros,,,
edgeservices.bing.com / referral,Outros,,,
edrone / email,E-mail MKT,,,
email / emailautomatico,E-mail MKT,,,
email / textolink,E-mail MKT,,,
facebook / cpc,Meta Ads,,,
facebook / faceads,Meta Organico,,,
facebook / imagem,Meta Organico,,,
facebook / link,Meta Organico,,,
facebook / paid_social_prsp,Meta Organico,,,
facebook / video,Meta Organico,,,
facebook.com / 12TVSuporte,Meta Organico,,,
facebook.com / referral,Meta Organico,,,
facebook.com / vendedor,Meta Organico,,,
facebookads / imagem,Meta Organico,,,
facebookads / video,Meta Organico,,,
farmaciaeficacia / paginaproduto,Outros,,,
farmaciaeficacia.com.br / referral,Outros,,,
farmaciaeficacia.far.br / referral,Outros,,,
farmaciaeficacia61781.ac-page.com / referral,Outros,,,
farmaciaeficacia61781.activehosted.com / referral,E-mail MKT,,,
farmaciaeficaciacom.freshdesk.com / referral,Outros,,,
farmaciasdemanipulacao.com.br / referral,Outros,,,
farmaconjr.com / referral,Outros,,,
fb / facebook-cpc,Meta Ads,,,
fb / paid,Meta Ads,,,
fb81bcaee0f897a192b83c3007c5be48.safeframe.googlesyndication.com / referral,Outros,,,
fdab5a506eb9ece7a5070648d4200d7b.safeframe.googlesyndication.com / referral,Outros,,,
ff / (not set),Meta Organico,,,
ff / ff,Meta Organico,,,
ff / organic,Meta Organico,,,
ff / referral,Meta Organico,,,
ff / undefined,Meta Organico,,,
formelegance.com.br / referral,Outros,,,
formulacerta.app.br / referral,Outros,,,
freespoke.com / referral,Outros,,,
gemini.google.com / referral,Google_Organic,,,
getblue.io / referral,Blue,,,
glassdoor.com.br / referral,Outros,,,
go.mail.ru / organic,Outros,,,
google / (not set),Google_Organic,,,
google / cpc,Google_Ads,,,
google / organic,Google_Organic,,,
google.com / referral,Google_Organic,,,
googleads.g.doubleclick.net / referral,Google_Organic,,,
guiadocorpo.com / organic,Outros,,,
ifaefebe / ifaefebe,Outros,,,
ig / paid,Outros,,,
IGShopping / Social,Meta Organico,,,
instagram / histories,Meta Organico,,,
instagram / link,Meta Organico,,,
instagram / stories,Meta Organico,,,
instagram.com / referral,Meta Organico,,,
keep.google.com / referral,Outros,,,
l.facebook.com / referral,Meta Organico,,,
l.instagram.com / referral,Meta Organico,,,
l.wl.co / referral,Outros,,,
linhadebelezabordin.com.br / referral,Outros,,,
linkedin.com / referral,Outros,,,
linktr.ee / referral,Outros,,,
lm.facebook.com / referral,Meta Organico,,,
lnkd.in / referral,Outros,,,
localhost:52913 / referral,Outros,,,
localhost:8000 / referral,Outros,,,
lusha.com / referral,Outros,,,
m.facebook.com / referral,Meta Organico,,,
m365.cloud.microsoft / referral,Outros,,,
mail.google.com / referral,Google_Organic,,,
mail.uol.com.br / referral,Outros,,,
malditaep.variousforum.com / referral,Outros,,,
Marketing / Marketing,E-mail MKT,,,
meetime.com.br / referral,Outros,,,
meta / cpc,Meta Ads,,,
metric.picodi.com / referral,Outros,,,
mindmeister.com / referral,Outros,,,
minoxidilbr.com / referral,Outros,,,
mulhernocontrole.host / referral,Outros,,,
mx.search.yahoo.com / referral,Outros,,,
mysearcheasy.com / referral,Outros,,,
Newsletter / email,Outros,,,
nh.zhifeiji.vip / referral,Outros,,,
nsx.ai / referral,Outros,,,
ntp.msn.com / 12TVSuporte,Outros,,,
ntp.msn.com / referral,Outros,,,
olist.lightning.force.com / referral,Outros,,,
openai / (not set),Outros,,,
org62.lightning.force.com / referral,Outros,,,
outlook.live.com / referral,Outros,,,
pagseguro.saca.intranet.uol.com.br / referral,Outros,,,
perplexity / (not set),Outros,,,
perplexity.ai / referral,Outros,,,
pharmaphusion.com.br / referral,Outros,,,
pinterest.com / referral,Outros,,,
pinterest.lightning.force.com / referral,Outros,,,
planner.cloud.microsoft / referral,Outros,,,
poe.com / referral,Outros,,,
popai.pro / referral,Outros,,,
pt.search.yahoo.com / referral,Outros,,,
quickaccess.internet.apps.samsung.com / referral,Outros,,,
qwant.com / organic,Outros,,,
r.promocodie.com / referral,Outros,,,
RD Station / email,E-mail MKT,,,
recovery / brenda,Outros,,,
redmine.prodoctor.net / referral,Outros,,,
reviews.me / referral,Outros,,,
s21.chatguru.app / referral,Outros,,,
s22.chatguru.app / referral,Outros,,,
scholar.google.com / referral,Outros,,,
scholar.google.com.br / referral,Outros,,,
scholar.google.com.hk / referral,Outros,,,
search.avastbrowser.com / referral,Outros,,,
search.brave.com / referral,Outros,,,
search.google.com / referral,Google_Organic,,,
search.slimjet.org / referral,Outros,,,
secretsenses.com.br / referral,Outros,,,
sgosyngoo.lightning.force.com / referral,Outros,,,
Shopback / ShopConvert_Recommendation,Outros,,,
Shopback / ShopConvert_Vitrine,Outros,,,
Shopback / ShopTarget_retarget,Outros,,,
shopping-scaled-matching.datacompute.google.com / referral,Google_Ads,,,
site.gotasdohomem.shop / referral,Outros,,,
smsolucoesdigital.com.br / referral,Outros,,,
startpage.com / referral,Outros,,,
statics.teams.cdn.office.net / referral,Outros,,,
stoneco.lightning.force.com / referral,Outros,,,
t.co / referral,Outros,,,
t11.toolsurf.com / referral,Outros,,,
tagassistant.google.com / referral,Outros,,,
tapnav.com / referral,Outros,,,
totalpass.lightning.force.com / referral,Outros,,,
trello.com / referral,Outros,,,
trustdeals.com.br / referral,Outros,,,
undefined / 11TVReceptivo,Vendedor,,,
undefined / cpc,Google_Ads,,,
undefined / undefined,Outros,,,
undefined / vendedor,Vendedor,,,
unknown,Outros,,,
vay-kay.com / referral,Outros,,,
vended / vendedor,Vendedor,,,
vendedor / (not set),Vendedor,,,
vendedor / 11TVReceptivo,Vendedor,,,
vendedor / 12TVSuporte,Vendedor,,,
vendedor / 35PosVenda,Vendedor,,,
vendedor / cpc,Vendedor,,,
vendedor / general,Vendedor,,,
vendedor / referral,Vendedor,,,
vendedor / undefined,Vendedor,,,
vendedor / v,Vendedor,,,
vendedor / vendedor,Vendedor,,,
web.agendor.com.br / referral,Outros,,,
web.telegram.org / referral,Outros,,,
webmail.uai.com.br / referral,Outros,,,
webmail-seguro.com.br / referral,Outros,,,
whitelabel.octadesk.com / referral,Outros,,,
word-view.officeapps.live.com / referral,Outros,,,
yahoo / organic,Outros,,,
yahoo.com / referral,Outros,,,
yandex / organic,Outros,,,
yandex.ru / referral,Outros,,,
yotpo / email,E-mail MKT,,,
yotpo / facebook,E-mail MKT,,,
yotpo / general,E-mail MKT,,,
yotpo / landing_page,E-mail MKT,,,
yotpo.lightning.force.com / referral,E-mail MKT,,,
youtube / link,Google_Ads,,,
youtube / video,Google_Ads,,,
Youtube / Youtube,Google_Ads,,,
youtube.com / referral,Google_Ads,,,
YouTube_andrebarros / (not set),Google_Ads,,,
docs.google.com / referral,Google_Organic,,,
scholar.google.com / referral,Google_Organic,,,
scholar.google.com.hk / referral,Google_Organic,,,
tagassistant.google.com / referral,Google_Organic,,,
